,CarBrand,CarModel
0,,
1, Chevrlot,Sail
2, Innova,v
3, Swift,2012
4, toyota,innova
5,9924406676,9924406676
6,aaudi,red
7,accent,2000
8,accent,2005
9,activa ,3G
10,Acura,Integra
11,Acura,Integta
12,Acura b,Integra a
13,al,19
14,alto,2005
15,alto,2008
16,alto,2012
17,Alto,Alto
18,Alto,Alto 800
19,Alto,K10
20,alto 800,2016
21,Alto 800,2018
22,ALTO 800,800
23,alto k10 vxi ASG,2018
24,Ambassador,2005
25,Apache RTR 160,2008
26,ashok leyland,2003
27,ashok leyland,dost
28,Audi,2016
29,Audi,A3
30,Audi,A4
31,Audi,A5
32,Audi,a6
33,audi,Audi
34,Audi,Q3
35,Audi,Q5
36,Audi,Q7
37,Audi,R8
38,Auto,2016
39,Bajaj,2006
40,bajaj,200ns
41,bajaj,2016
42,bajaj,220
43,bajaj,avenger
44,bajaj,avenger 220
45,Bajaj,Avenger 220 cruise
46,Bajaj,Boxer
47,bajaj,D400
48,bajaj,discover
49,bajaj,dominar
50,Bajaj,Dominar 400
51,Bajaj,Ns200
52,bajaj,platina
53,bajaj,pulsar 
54,Bajaj,Pulsar 135LS
55,Bajaj,pulsar 150
56,Bajaj,Pulsar 160NS
57,bajaj,pulsar 180
58,Bajaj,Pulsar 200
59,bajaj,pulsar 200ns
60,BAJAJ ,Pulsar 220f
61,bajaj,Pulsar RS200 ABS
62,bajaj,v15
63,Bajaj motor,2014
64,Baleno,xeta
65,bata,alta
66,beat,20133
67,benez,E 250
68,Bh,Jazz
69,Bharat Bench,2017
70,Bharat Benz ,2017
71,bharatbenze,1217
72,BMW,
73,BMW,1
74,BMW,2014
75,BMW,2017
76,bmw,2018
77,BMW,3 Series
78,BMW,320d
79,BMW,5
80,BMW,5 Series
81,BMW,520d
82,BMW,525D
83,BMW,545
84,BMW,Enjoy
85,Bmw,Gshs
86,BMW ,GT
87,BMW,Micra
88,BMW ,X1
89,BMW,X3
90,BMW,Yu
91,bolero,2014
92,bolero ,giijb
93,Bolero,Zlx
94,bolero camper,2014
95,brand,model
96,Buick,Enclave
97,byke,hondavshine
98,car,model 
99,car,modelll
100,ceilo,1996
101,chevorelet,sail sedan 
102,Chevrolet,2012
103,Chevrolet,2013
104,Chevrolet,2016
105,Chevrolet,Aveo
106,Chevrolet,Aveo U-VA
107,Chevrolet,beat 
108,Chevrolet,beat diesel
109,Chevrolet,Beat LS
110,Chevrolet,beat lt
111,Chevrolet,beat ps
112,Chevrolet,beet
113,Chevrolet,Camaro
114,Chevrolet,captiva
115,Chevrolet,Cruze
116,Chevrolet,enjoy
117,Chevrolet,Model
118,Chevrolet,Octavia
119,Chevrolet,Optra Magnum
120,Chevrolet,Sail
121,Chevrolet,sail sedan 
122,Chevrolet,Sail U-VA
123,Chevrolet,spark
124,Chevrolet,spark ls
125,Chevrolet,spark LT
126,Chevrolet,Tavera
127,Chevrolet,uva
128,cilerio ,2015
129,creata,2017
130,creta,2017
131,Daihatsu,Granmax
132,Datsun,2016
133,Datsun,2017
134,Datsun,2018
135,Datsun,Datsun Go
136,Datsun,GO
137,Datsun,GO A EPS
138,Datsun,go plus
139,Datsun,GO+
140,Datsun,redi go
141,Datsun,redigo
142,Datsun,REDI-GO
143,Datsun,Redi-Go 1.0S
144,Datsun,Sail
145,Datsun go plus ,2018
146,DEZIRE,2016
147,discover,2012
148,Dzire ,2013
149,Dzire ,2015
150,dzire,ldi
151,Dzire Tour,2018
152,Eartica,Vxi
153,Ecco ,2017
