Id,IncomingTrackId,RichTrackId,TrackLength,NumberOfPoints,TotalDistance,mean_acc_z_small,mean_gyro_z_small,std_acc_z_small,std_gyro_z_small,mean_acc,mean_gyro,std_acc,std_gyro,Isbicycle,a_m23_m20,a_m20_m17,a_m17_m14,a_m14_m11,a_m11_m8,a_m8_m5,a_m5_m2,a_m2_1,a_1_4,a_4_7,a_7_10,a_10_13,a_13_16,a_16_19,a_19_22,a_22_25,acc_mean,acc_median,acc_neg_mean,acc_neg_median,acc_neg_std,acc_pos_mean,acc_pos_median,acc_pos_std,acc_std,mv_d_10_100,mv_d_100_250,mv_d_250_500,mv_d_500_1000,mv_d_1000_1500,mv_d_1500_2033,mv_d_2033_3033,mv_d_3033_4033,mv_d_4033_10000,mv_d_10000_20000,mv_d_20000_30000,mv_d_30000_60000,mv_d_60000_180000,nstops,pedestrian_dist,rel_move_len_median,rel_move_len_std,rel_stand_time,rel_stand_time_median,rel_stand_time_std,speed_max,speed_mean,speed_median,speed_std,st_t_5_10,st_t_10_25,st_t_25_40,st_t_40_60,st_t_60_90,st_t_90_120,st_t_120_180,st_t_180_600,total_dist,total_secs,v_0_5,v_5_10,v_10_15,v_15_20,v_20_25,v_25_30,v_30_35,v_35_40,v_40_45,v_45_50,v_50_55,v_55_60,v_60_65,v_65_70,v_70_75,v_75_80,v_80_85,v_85_100,v_100_130,v_130_160,v_160_300,day2,height_max2,height_mean2,height_median2,height_min2,height_std2,hour2,minute2,rel_overspeed_max2,rel_overspeed_mean2,rel_overspeed_median2,rel_overspeed_std2,rel_urban2,weekday2,IsTaxi,IsMotocycle
615852,4203316,1832934,7,0,103.1032727,0,0,0,0,0,-0.019182426,0,0.026002163,False,0,0,0,0,0.000572738,0,0.001718213,0.325315006,0.004009164,0.000572738,0,0.000572738,0,0,0.000572738,0,0.047551753,0,1.199307812,0.1890012,2.007719514,1.590733066,0.44639988,3.870497588,1.15105825,0,0,0,0.002,0,0,0,0,0,0,0,0,0,3,27.68011013,1,0,0.128378378,0.037162162,0.018366561,41.112,5.090658123,0,10.15424034,0.066666667,0.044444444,0,0,0,0,0,0,831.5207255,314,0.108127208,0.019787986,0.018374558,0.007067138,0.013427562,0.004240283,0.013427562,0.013427562,0.002120141,0,0,0,0,0,0,0,0,0,0,0,0,27,157482,65492.18421,0,0,72900.52332,11,11,1,1,1,0,1,3,0,False
615853,4203318,1832935,6,0,62.77866891,0,0,0,0,0.952026852,0.009189724,0.075644217,0.016813136,False,0,0,0,0.000487329,0.000974659,0.002923977,0.004873294,0.303118908,0.014619883,0.005360624,0.000487329,0,0,0.000487329,0,0,0.070980375,0,2.624398771,1.76564,2.826688816,2.339126427,1.6563225,2.577966143,1.460940125,0,0,0,0,0,0,0.001,0,0,0,0,0,0,1,48.30850777,1,0,0.016483516,0.016483516,0,73.84243,12.30295393,0.563122917,22.50027035,0.2,0,0,0,0,0,0,0,2327.017599,563,0.100779221,0.011428571,0.012987013,0.004155844,0.000519481,0.002597403,0.003636364,0.004155844,0.006233766,0.004675325,0.009350649,0.009350649,0.009350649,0.011428571,0.009350649,0,0,0,0,0,0,27,17323,841.4025974,0,-2884,2684.025811,11,5,1,1,1,0,1,3,0,False
615850,4203321,1832932,81,24,219.7290939,0,0,0,0,0,0,0,0,False,0,0,0,0,0.002906977,0.004844961,0.03875969,0.209302326,0.065891473,0.010658915,0.000968992,0,0,0,0,0,-0.074408077,0,1.740543091,1.14,1.878240095,1.68161541,1.26,1.638984827,2.249311935,0,0,0,0,0,0,0,0.001,0,0,0,0,0,1,104.8499977,1,0,0.193277311,0.193277311,0,74.448,16.1574067,7.37999964,18.55558116,0,0,0,0,0,0,0,0.002380952,3401.199941,1116,0.058015267,0.029770992,0.011450382,0.013740458,0.009160305,0.021374046,0.011450382,0.010687023,0.00610687,0.008396947,0.007633588,0.004580153,0.002290076,0.002290076,0.003053435,0,0,0,0,0,0,27,178000,43860.10363,0,0,73255.36366,10,59,1.2348,1.1898,1.1898,0.045,1,3,0,False
615854,4203324,1832936,24,0,202.1680045,0.925089506,0.004383354,0.156180409,0.033786358,0.820772233,0.008912172,0.429044592,0.035083001,False,0,0,0,0,0.000178158,0.000178158,0.005166578,0.30963834,0.016034206,0.000890789,0.000356316,0.000712631,0,0.000178158,0,0,0.061379721,0,1.148333524,0.76361845,1.299034081,1.327505978,0.636916475,2.088872148,1.056297403,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,4,185.4388383,1,0,0.02278481,0.005379747,0.001613614,55.77055,13.700737,12.2887707,11.95528962,0.15,0.016666667,0,0,0,0,0,0,7162.134815,1782,0.051903553,0.016624365,0.031472081,0.02677665,0.027030457,0.018908629,0.01357868,0.009517766,0.003172589,0.000126904,0.000634518,0.000253807,0,0,0,0,0,0,0,0,0,27,945566,540276.7652,869650,0,437929.8631,10,45,1,1,1,0,1,3,0,False
615855,4203326,1832937,22,11,417.5307957,0.910849261,-0.004771658,0.204071539,0.042576024,0.856676227,-0.00250211,0.297993753,0.033207036,False,0,0,0,0,0.000103263,0.000516316,0.00629905,0.310925238,0.013114416,0.001548947,0.000516316,0.000103263,0,0.000206526,0,0,0.019924275,0,1.532983345,0.963,2.644737421,1.513543883,0.92699875,2.103640593,1.202122159,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,4,204.48576,1,0,0.125835189,0.021343727,0.031454691,67.86,9.440160847,0.576,15.64562742,0.05,0.016666667,0,0,0,0.008333333,0,0.000595238,8467.930553,3222,0.123173897,0.010307749,0.009417872,0.01008528,0.008305525,0.005561735,0.007489803,0.005932518,0.006970708,0.005265109,0.002595476,0.002224694,0.001779755,0.000889878,0,0,0,0,0,0,0,27,192543,132229.591,174967,0,76677.0288,10,23,1.7586,1.241216313,1.113,0.227262232,1,3,0,False
615856,4203328,1832938,48,5,26.18389612,0,-0.002152557,0,0.025391277,0,-0.002152557,0,0.025391277,False,0,0,0,0,0.001706485,0.008532423,0.027872582,0.226962457,0.05403868,0.012514221,0.001706485,0,0,0,0,0,-0.036936173,0,1.61947343,0.846,1.920075079,1.689758528,1.122,1.67673373,2.186404352,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,3,3.359999899,1,0,0.055280528,0.012376238,0.012858823,58.14,19.58633415,16.6499993,17.26011031,0.066666667,0.022222222,0,0.016666667,0,0,0,0,6618.579836,1451,0.048789572,0.020111732,0.015642458,0.015270019,0.011918063,0.018994413,0.0141527,0.020856611,0.020856611,0.003351955,0.004096834,0.005959032,0,0,0,0,0,0,0,0,0,27,110000,35804.6875,0,0,41598.53862,10,55,1.823400115,1.217727264,1.166399955,0.256836412,1,3,0,False
615857,4203334,1832939,0,0,0,0.963849864,0.017897925,0.077706292,0.021973482,0.86609421,0.01697797,0.277328982,0.020477218,False,0,0,0,0,0.000249439,0.002993265,0.014218009,0.273301738,0.036750644,0.00465619,0.000997755,0,8.31E-05,0,0,8.31E-05,0.10032771,0,1.53095306,0.972000075,1.620013812,1.598871393,1.0620003,1.97285337,1.589866773,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,1,18.00551999,1,0,0.003581267,0.003581267,0,73.728,23.57991871,18.6659994,22.125206,0,0.066666667,0,0,0,0,0,0,26273.89737,3630,0.050839989,0.014651611,0.014541449,0.013660149,0.014210961,0.009694299,0.010024787,0.008096943,0.010685761,0.012117874,0.015808317,0.012283118,0.007876618,0.004736987,0.000771137,0,0,0,0,0,0,27,39959,11532.86506,0,-4431,12978.65782,10,11,1.6605,1.203255274,1.169399897,0.159180936,1,3,0,False
615859,4203339,1832941,10,0,106.6178402,0.927723756,-0.001685384,0.079636289,0.056517631,0.909975697,0.001863978,0.113956478,0.047213101,False,0,0,0,0,0.000516796,0.001679587,0.0125323,0.289793282,0.021834625,0.00503876,0.000904393,0.000904393,0.000129199,0,0,0,0.055093609,0,1.559165535,1.0845033,1.579253352,1.992183064,1.2505265,2.596052093,1.57527144,0,0,0.004,0,0,0,0,0,0,0,0,0,0,2,59.67129805,0.018114288,0,0.009924386,0.004962193,0.000708885,80.12202,24.65382426,15.2583475,24.22453893,0.1,0.033333333,0,0,0,0,0,0,17675.66673,2552,0.058545136,0.015863278,0.011130587,0.007361963,0.008501315,0.00797546,0.006222612,0.009114812,0.012708151,0.009728309,0.012620508,0.020595968,0.008413672,0.005609115,0.004119194,0.001402279,8.76E-05,0,0,0,0,27,45464,7719.018539,0,0,11015.36824,10,38,1.3022236,1.111641557,1.093268345,0.091632692,0.967284624,3,0,False
615860,4203341,1832942,89,21,296.6159659,0,0,0,0,0,0,0,0,False,0,0,0,0,0.002123142,0,0.004246285,0.322717622,0.004246285,0,0,0,0,0,0,0,-0.108416242,0,0.732111535,0.23069876,1.657179098,0.415979833,0.213712767,0.644402504,0.987941599,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,105.6863701,1,0,0,0,0,34.1767349,6.011379846,0,9.836233708,0,0,0,0,0,0,0,0,525.938021,407,0.096969697,0.009090909,0.024242424,0.024242424,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,114700,66918.51852,109200,0,55507.3371,11,14,1,1,1,0,1,3,0,False
615861,4203343,1832943,28,14,384.3890585,0.932178007,-0.004569509,0.089409332,0.034681789,0.931933764,-0.002796552,0.121983236,0.029227022,False,0,0,0,0.000259202,0.000648004,0.002980819,0.011275272,0.285510627,0.026308968,0.00466563,0.001166407,0.000518403,0,0,0,0,0.005299872,0,2.444270343,1.22493055,5.962928832,2.329768009,1.4376853,4.774600548,3.198198974,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,1,2.550643356,1,0,0.022883295,0.022883295,0,79.6763153,20.90622793,9.203803,23.96320924,0,0,0,0.05,0,0,0,0,14975.95046,2528,0.070781893,0.013534522,0.009602195,0.009327846,0.009510745,0.011156836,0.009876543,0.007498857,0.006218564,0.00877915,0.009693644,0.009693644,0.009876543,0.007681756,0.005486968,0.001280293,0,0,0,0,0,27,27234,3301.945205,0,-7438,6057.94975,10,38,1.87928125,1.267430863,1.265086,0.193492038,0.99128269,3,0,False
