Id,IncomingTrackId,RichTrackId,TrackLength,NumberOfPoints,TotalDistance,mean_acc_z_small,mean_gyro_z_small,std_acc_z_small,std_gyro_z_small,mean_acc,mean_gyro,std_acc,std_gyro,Isbicycle,a_m23_m20,a_m20_m17,a_m17_m14,a_m14_m11,a_m11_m8,a_m8_m5,a_m5_m2,a_m2_1,a_1_4,a_4_7,a_7_10,a_10_13,a_13_16,a_16_19,a_19_22,a_22_25,acc_mean,acc_median,acc_neg_mean,acc_neg_median,acc_neg_std,acc_pos_mean,acc_pos_median,acc_pos_std,acc_std,mv_d_10_100,mv_d_100_250,mv_d_250_500,mv_d_500_1000,mv_d_1000_1500,mv_d_1500_2033,mv_d_2033_3033,mv_d_3033_4033,mv_d_4033_10000,mv_d_10000_20000,mv_d_20000_30000,mv_d_30000_60000,mv_d_60000_180000,nstops,pedestrian_dist,rel_move_len_median,rel_move_len_std,rel_stand_time,rel_stand_time_median,rel_stand_time_std,speed_max,speed_mean,speed_median,speed_std,st_t_5_10,st_t_10_25,st_t_25_40,st_t_40_60,st_t_60_90,st_t_90_120,st_t_120_180,st_t_180_600,total_dist,total_secs,v_0_5,v_5_10,v_10_15,v_15_20,v_20_25,v_25_30,v_30_35,v_35_40,v_40_45,v_45_50,v_50_55,v_55_60,v_60_65,v_65_70,v_70_75,v_75_80,v_80_85,v_85_100,v_100_130,v_130_160,v_160_300,day2,height_max2,height_mean2,height_median2,height_min2,height_std2,hour2,minute2,rel_overspeed_max2,rel_overspeed_mean2,rel_overspeed_median2,rel_overspeed_std2,rel_urban2,weekday2,IsTaxi,IsMotocycle
49,3407117,1530007,8,6,137.5473431,0.93523377,0.002265304,0.102059806,0.028414799,0.837964769,0.013169478,0.268785089,0.033464745,False,0,0,0,0.000218938,0.000109469,0.001423098,0.010837438,0.290859332,0.027586207,0.002079912,0.000109469,0,0,0,0,0.000109469,0.011511953,0,1.380878074,1.0439951,1.446513362,1.290858281,0.8999975,1.493267468,1.188391328,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,3,125.6111852,1,0,0.02468652,0.007053292,0.004713066,75.16799,20.1750582,3.312,24.33777427,0.066666667,0.022222222,0.022222222,0,0,0,0,0,17068.64064,2779,0.084884177,0.006753043,0.006203377,0.007067138,0.005889282,0.008480565,0.012877896,0.007616804,0.006124853,0.008087947,0.008087947,0.013113467,0.014605418,0.005261091,0.004868473,7.85E-05,0,0,0,0,0,24,17294,1213.549039,0,-4390,2523.144582,15,49,1,1,1,0,0,1,0,True
37,3407123,1529989,9,0,121.4843303,0.959144772,-0.007468058,0.057017383,0.036410039,0.953232316,-0.007686768,0.07836269,0.035810049,False,0,0,0.000110791,0.000332373,0.000775537,0.005687274,0.032424847,0.217704409,0.064295738,0.009343378,0.001846517,0.000590886,3.69E-05,0.000147721,0,3.69E-05,0.028498315,0,1.684972896,1.152,1.862231678,1.733617116,1.1879944,1.926924355,2.279881073,0,0,0,0.000222222,0,0,0.000111111,0,5.59E-05,2.22E-05,1.11E-05,3.70E-06,0,12,149.3694604,0.052614757,0.069133732,0.027428458,0.001386276,0.001968168,128.664,60.09458739,57.8519974,30.84309019,0.066666667,0.022222222,0.011111111,0.004166667,0.002777778,0,0,0,153388.8461,10380,0.01672394,0.001924399,0.00091638,0.000687285,0.000733104,0.001649485,0.002130584,0.005750286,0.013631157,0.018258877,0.020847652,0.020252005,0.015051546,0.007697595,0.005796105,0.006162658,0.008293242,0.010591829,0.003619702,0,0,24,610260,28821.94585,0,0,87267.06491,14,3,1,1,1,0,0,1,0,True
116,3407314,1530075,2,0,23.08630036,0.965172297,-0.007672161,0.053137824,0.045228307,0.808552334,-0.020330964,0.187622662,0.038013774,False,0,0,0,0,0.000248942,0.00248942,0.018172766,0.26686582,0.037341299,0.005725666,0.001991536,0.000248942,0,0,0.000248942,0,0.07913192,0,1.480351989,0.98999895,1.538793448,1.686285301,1.15199805,1.989863421,1.676759986,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,1,80.20687959,1,0,0.035947712,0.035947712,0,73.944,27.66571714,36.36,22.21030569,0,0,0.066666667,0,0,0,0,0,10289.94325,939,0.014363439,0.001305767,0.002393906,0.003264418,0.005440696,0.010228509,0.01218716,0.028291621,0.036343852,0.042002176,0.024809576,0.008922742,0.006311208,0.003264418,0.000870511,0,0,0,0,0,0,24,125642,9617.087986,0,0,24022.10573,16,40,1,1,1,0,0,1,0,True
750,3409196,1530714,23,0,313.2098474,0,-0.001004522,0,0.022467292,0.864522467,-0.001260039,0.261647674,0.022295048,False,0,0,0,0.00020202,0.00020202,0.000808081,0.009090909,0.296161616,0.026060606,0.000606061,0.00020202,0,0,0,0,0,0.016356053,0,1.281378522,0.774,1.511789857,1.002236515,0.792,0.916049207,0.986459463,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0,0,182.7847239,0.004159097,0,0,0,0,69.444,18.58963256,7.992,21.18385317,0,0,0,0,0,0,0,0,8521.084845,1639,0.071851852,0.009037037,0.013333333,0.012296296,0.011259259,0.012888889,0.010518519,0.011703704,0.008888889,0.008592593,0.006814815,0.006518519,0.008444444,0.007851852,0,0,0,0,0,0,0,24,66384,9562.815217,0,0,17072.50499,23,49,1,1,1,0,0,1,0,True
1102,3410121,1531071,7,0,87.79477493,0,0,0,0,0.779544843,-0.027362013,0.472690082,0.032821748,False,0,0,0,0,0,0,0.002308403,0.326408126,0.004616805,0,0,0,0,0,0,0,-0.009866564,0,0.959269567,0.450000425,1.184891577,0.606940618,0.3869991,0.661648972,0.392312005,0,0,0,0,0.002,0,0,0,0,0,0,0,0,2,98.08693002,1,0,0.341945289,0.170972644,0.136018237,52.632,5.575911249,0.828,12.11610454,0,0.033333333,0,0,0,0,0,0.001190476,1221.663972,957,0.141232227,0.012322275,0.007582938,0.004739336,0.004265403,0.002843602,0.003791469,0.002843602,0.004265403,0.01563981,0.000473934,0,0,0,0,0,0,0,0,0,0,25,70293,28927.8371,0,0,33628.45329,2,46,1,1,1,0,0,2,0,True
1131,3410186,1531098,0,0,0,0.942892307,0.002402989,0.106909836,0.043410692,0.952817169,0.011756052,0.103802945,0.03586501,False,0,0,0,0.000209644,0.000628931,0.005450734,0.01802935,0.259119497,0.043396226,0.005031447,0.001048218,0.000209644,0.000209644,0,0,0,0.062155485,0,1.739700219,1.1519983,1.874403248,2.033630255,1.38,3.951814708,2.522474009,0,0,0.001,0,0.0005,0,0.00025,0,4.19E-05,0,0,0,0,1,0.949999988,0.102653002,0.197126262,0.017080745,0.017080745,0,79.812,34.17617517,41.2379987,26.91011585,0,0.066666667,0,0,0,0,0,0,15101.35898,1288,0.033048875,0.004344453,0.004654771,0.003568658,0.002017067,0.00325834,0.007757952,0.010705974,0.016446858,0.015515904,0.017843289,0.027307991,0.025601241,0.017998448,0.007602793,0.002327386,0,0,0,0,0,25,132077,7333.767167,0,0,21987.44892,2,42,1,1,1,0,0,2,0,True
1266,3410548,1531234,7,0,79.41062976,0,0,0,0,0.975330105,0.003577624,0.03083498,0.019566836,False,0,0,0,0,0.00037037,0.000740741,0.003333333,0.310740741,0.018148148,0,0,0,0,0,0,0,0.028807654,0,1.047594873,0.7199967,1.279000132,1.334458216,0.8279974,4.283759135,1.798274348,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,73.79429976,1,0,0,0,0,57.0959969,14.85760057,3.84302354,18.97797342,0,0,0,0,0,0,0,0,3718.423923,900,0.050094877,0.018975332,0.015180266,0.007969639,0.006072106,0.008349146,0.006072106,0.012903226,0.034914611,0.029981025,0.007210626,0.00227704,0,0,0,0,0,0,0,0,0,25,73479,18508.05778,0,0,28833.33271,3,46,1,1,1,0,0,2,0,True
1524,3411161,1531498,2,0,28.50055939,0,0,0,0,0.798955742,0.008118216,0.341547702,0.020670339,False,0,0,0,0,0,0,0.003201708,0.321949484,0.008182142,0,0,0,0,0,0,0,-0.005368633,0,1.071179959,0.8279982,0.877247132,0.846291261,0.459000725,0.836122674,0.476583476,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,52.95837022,1,0,0,0,0,47.016,8.047325347,0,13.73516497,0,0,0,0,0,0,0,0,2098.396552,654,0.106077348,0.009208103,0.006629834,0.008471455,0.008839779,0.007366483,0.018047882,0.025414365,0.009208103,0.000736648,0,0,0,0,0,0,0,0,0,0,0,25,67556,11131.74854,0,0,21584.63575,4,50,1,1,1,0,0,2,0,True
1930,3412179,1531907,6,0,69.47615684,0,0,0,0,0.686792458,0.011667796,0.569030582,0.039165584,False,0,0,0,0,0,0.000269469,0.014551334,0.287254109,0.026407976,0.004311506,0.000538938,0,0,0,0,0,0.047990289,0,1.604592328,1.349999,1.181767762,1.739684689,1.286998725,1.563996367,1.174240903,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,2,45.5336302,1,0,0.030643514,0.015321757,0.006128703,62.9639969,14.39010479,7.63199949,15.9214466,0.1,0.033333333,0,0,0,0,0,0,5073.335711,1189,0.058874459,0.015800866,0.013636364,0.014502165,0.017748918,0.018398268,0.022943723,0.01969697,0.00995671,0.004112554,0.001948052,0.001948052,0.0004329,0,0,0,0,0,0,0,0,25,172916,41523.86923,0,0,67229.79616,6,24,1,1,1,0,0,2,0,True
2092,3412531,1532045,3,0,34.50729486,0.953747871,-0.004712461,0.091103933,0.042068887,0.839220599,-0.001465138,0.347688694,0.039887137,False,0,0,0,5.63E-05,0.000506757,0.002533784,0.021621622,0.251858108,0.049099099,0.006137387,0.001182432,0.000225225,5.63E-05,5.63E-05,0,0,0.09721961,0,1.566393444,1.152,1.841013328,1.652585676,1.11600235,2.365989436,2.047525236,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,5,72.99705982,0.220237823,0,0.024715505,0.003911807,0.003839036,79.4519958,31.24645089,39.7079964,20.28385843,0.08,0.013333333,0.013333333,0,0.006666667,0,0,0,51436.50345,5896,0.041785206,0.004267425,0.004125178,0.00341394,0.00302276,0.004943101,0.010846373,0.024502134,0.039438122,0.033819346,0.018385491,0.007539118,0.002809388,0.000604552,0.000355619,0.000142248,0,0,0,0,0,25,616463,25783.10095,0,0,92767.54667,5,37,1,1,1,0,0,2,0,True
