Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT
1530007,ECCCEB00-0CEF-4930-BC82-E1745FAEDCE9,2FA69E7E-A927-4125-821A-D5F5F965418E,3407117,2018-07-25 00:49:53.0000000 +09:00,2018-07-25 01:35:20.0000000 +09:00,16.94109985,45.45,0,1,3,0.6,OriginalDriver,False,神奈川県横浜市中区新港１丁目４,東京都大田区東矢口２丁目７−７,18.363,False,東京都,Japan,5,5,1,5,0,0,0,,1062,0,45.45000076,0,4,1,1,0.600000024,0.899999976,74.91599274,44.95870963,0,0.055,0,1,,100,100,100,75,92.5,0,横浜市中区,大田区,01.01.2001
1529989,6EF7F50E-6C6A-46C5-B4EC-62223D0B48A0,BA844E82-4361-498F-909A-62AFDA0205ED,3407123,2018-07-24 23:03:20.0000000 +09:00,2018-07-25 01:34:04.0000000 +09:00,153.2374272,150.7333333,8,4,3,3.233333333,OriginalDriver,True,神奈川県厚木市妻田南２丁目８−１２,静岡県賀茂郡南伊豆町湊３０８−１,157.713,False,静岡県,Japan,5,4,3,5,0,0,0,OriginalDriver,1062,0,94.1166687,56.61666489,5,1,0.899999976,0.791563153,1,124.1640015,67.59563303,0,3.143,0,1,,0,100,100,0,10,0,厚木市,賀茂郡南伊豆町,01.01.2001
1530075,A444F54A-325F-489A-9EC4-54AE44736D8F,BA844E82-4361-498F-909A-62AFDA0205ED,3407314,2018-07-25 01:40:38.0000000 +09:00,2018-07-25 01:58:47.0000000 +09:00,10.20759637,18.15,0,1,3,0,OriginalDriver,True,静岡県賀茂郡南伊豆町湊３０８−１,静岡県賀茂郡南伊豆町中木４３,10.855,False,静岡県,Japan,5,5,1,5,0,0,0,OriginalDriver,1062,0,18.14999962,0,4,1,1,0.600000024,0.899999976,70.77600098,44.20979253,0,0,0,1,,100,100,100,100,100.0000076,0,賀茂郡南伊豆町,賀茂郡南伊豆町,01.01.2001
1530714,03CD280B-420C-4C37-ACA0-DE72E153025E,CDAF44E6-2F4D-4347-9BBD-1136AB0771AE,3409196,2018-07-25 08:49:09.8337921 +09:00,2018-07-25 09:11:36.0000000 +09:00,8.337071351,22.43610347,0,0,4,0,OriginalDriver,False,神奈川県鎌倉市常盤７２０−４,神奈川県横浜市戸塚区東俣野町１７６０,8.479,False,神奈川県,Japan,5,5,3,5,0,0,0,,1062,22.43610382,0,0,5,1,1,0.800000012,1,68.86799622,37.92320788,0,0,0,1,,100,100,100,100,100.0000076,0,鎌倉市,横浜市戸塚区,01.01.2001
1531071,2609D682-36CE-4F77-9252-E5F1CBD99070,F45E556C-E836-4332-A993-12321617F0FA,3410121,2018-07-25 11:46:49.4243899 +09:00,2018-07-25 11:50:06.0000000 +09:00,1.010258527,3.276260168,0,0,5,0.333333333,OriginalDriver,False,神奈川県厚木市愛名３６９−１,神奈川県厚木市飯山２１２０−６,2.321,False,神奈川県,Japan,5,5,5,5,0,0,0,,1062,0,0,3.276260138,5,1,1,1,1,52.63199997,21.2140129,0,0.036,0,1,,100,100,100,100,100.0000076,0,厚木市,厚木市,01.01.2001
1531098,7B130F68-6C3C-4385-A142-579897213E0E,8A58D108-F8A6-44AF-AC78-2F5983A2B97F,3410186,2018-07-25 11:42:50.0000000 +09:00,2018-07-25 12:07:18.0000000 +09:00,15.09799898,24.46666667,0,0,5,0,OriginalDriver,False,静岡県伊豆市土肥２９０６,静岡県賀茂郡西伊豆町田子１０７７,16.236,False,静岡県,Japan,5,5,5,5,0,0,0,,1062,0,0,24.46666718,5,1,1,1,1,79.81199646,54.06469846,0,0,0,1,,100,100,100,75,92.5,0,伊豆市,賀茂郡西伊豆町,01.01.2001
1531234,AD06B10F-6B36-4C2D-951B-F600F2DF719E,F45E556C-E836-4332-A993-12321617F0FA,3410548,2018-07-25 12:46:26.4278198 +09:00,2018-07-25 12:55:56.0000000 +09:00,3.718423923,9.49286967,0,0,5,0,OriginalDriver,False,神奈川県厚木市及川６４０−１,神奈川県厚木市戸室５丁目６−１,4.124,False,神奈川県,Japan,5,5,5,5,0,0,0,,1062,0,0,9.492869377,5,1,1,1,1,56.66399765,38.0580499,0,0,0,1,,100,100,100,100,100.0000076,0,厚木市,厚木市,01.01.2001
1531498,94699183-0F71-42D9-A074-F78F230645BA,F45E556C-E836-4332-A993-12321617F0FA,3411161,2018-07-25 13:50:33.0000000 +09:00,2018-07-25 14:01:15.0000000 +09:00,2.008208282,10.7,0,0,5,0,OriginalDriver,False,神奈川県厚木市戸室５丁目３１−１,神奈川県厚木市愛名３６９−１,2.773,False,神奈川県,Japan,5,5,5,5,0,0,0,,1062,0,0,10.69999981,5,1,1,1,1,47.01599884,32.94852529,0,0,0,1,,100,100,100,100,100.0000076,0,厚木市,厚木市,01.01.2001
1531907,EFC83D21-2CF9-4CCA-B605-9A2B9E31D7FC,9AE85C9C-BC23-4389-9CDC-7BC520178B40,3412179,2018-07-25 15:24:27.0000000 +09:00,2018-07-25 15:43:25.0000000 +09:00,5.025332081,18.96666667,1,0,4,0,OriginalDriver,True,神奈川県相模原市緑区大島１５９７−７,神奈川県相模原市緑区相原５丁目１２−１,6.262,False,神奈川県,Japan,5,4,5,5,0,0,0,OriginalDriver,1062,0,0,18.96666718,5,1,0.899999976,1,1,59.22000122,28.42618652,0,0,0,1,,100,100,100,100,100.0000076,0,相模原市緑区,相模原市緑区,01.01.2001
1532045,52011B2B-CFAC-4BC6-B0A3-FBD47F780AC0,BA844E82-4361-498F-909A-62AFDA0205ED,3412531,2018-07-25 14:37:25.0000000 +09:00,2018-07-25 16:14:06.0000000 +09:00,51.36193168,96.68333333,2,0,5,1.066666667,OriginalDriver,True,静岡県賀茂郡南伊豆町中木４３,静岡県伊豆市湯ケ島８９２−６,51.483,False,静岡県,Japan,5,5,5,5,0,0,0,OriginalDriver,1062,0,0,96.68333435,5,1,1,1,1,78.91199493,42.32021754,0,0.653,0,1,,100,100,100,25,77.50000763,0,賀茂郡南伊豆町,伊豆市,01.01.2001
