Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT
1832934,434D8823-60C0-41E0-85A2-67E446437F88,526F60C5-30A7-4F64-A099-3D27D055AD3C,4203316,2018-09-27 15:11:01.0000000 +04:00,2018-09-27 15:13:42.0000000 +04:00,0.734251146,2.683333333,0,0,5,0,OriginalDriver,False,"улица Авроры 181Б, Октябрьский район, Самара, Самарская область, Россия","3-й проезд 53, Октябрьский район, Самара, Самарская область, Россия",0.707,True,Самарская область,Россия,5,5,5,5,0,0,0,,6,0,0,2.683333397,5,1,1,1,1,37.87200165,26.04648609,0,0,0,1,,100,100,100,75,92.5,0,Самара,Самара,01.01.2001
1832935,92E70968-295C-4455-9D40-365C8CB78A89,E5DE4C91-DD54-4B93-89EE-35B8A8DAC8B9,4203318,2018-09-27 14:05:20.0000000 +03:00,2018-09-27 14:14:23.0000000 +03:00,2.276717403,9.05,1,1,4,0.083333333,OriginalDriver,False,"???? ???? 25, ????, ??????, ???","???? ?????? 67, ?????, ??????, ???",2.578,True,??????,???,5,4,5,5,0,0,0,,1093,0,0,9.050000191,4,1,0.899999976,1,0.899999976,73.84243011,34.99950937,0,0.064,0,1,,100,50,100,0,67.5,0,??????,??????,01.01.2001
1832932,1E7BCE76-40F1-4AF1-B38F-F09489C9D743,E2E45863-B67E-4EFA-A957-3B4AA8D84DD9,4203321,2018-09-27 13:59:47.0000000 +03:00,2018-09-27 14:16:44.0000000 +03:00,3.294019943,16.95,0,0,5,0,OriginalDriver,False,"улица Москворечье 47, Москворечье-Сабурово, Москва, Россия","Царицыно, Москва, Россия",4.235,True,Москва,Россия,5,5,5,5,0.109,0.137,0,,1061,0,0,16.95000076,5,1,1,1,1,74.08799744,31.96586913,0,0,0,1,,100,100,100,75,92.5,0,Москва,Москва,01.01.2001
1832936,515507B4-89B4-42FE-8C2C-BC608B7A37D6,48FB2D91-2C69-45F3-ABB5-65A11A04DD6C,4203324,2018-09-27 16:15:09.0000000 +05:30,2018-09-27 16:44:16.0000000 +05:30,6.975773724,29.11666667,2,0,4,3.033333333,OriginalDriver,False,"24th Main Road 15, J P Nagar, Bengaluru, India","3rd Main Road, Hanumantha Nagar, Bengaluru, India",7.81,True,Bengaluru,India,5,3,5,3,0,0,0,,1093,0,0,29.11666679,5,1,0.850000024,1,1,51.76101685,19.84002202,0,0.918,0,0.75,,100,100,100,50,85.00000763,0,Bengaluru,Bengaluru,01.01.2001
1832937,92641EBA-FEAE-490F-9F26-844EEAEB3EB1,729B56D1-6E48-43BB-8C4E-FB2747C55365,4203326,2018-09-27 17:23:13.0000000 +07:00,2018-09-27 18:11:09.0000000 +07:00,8.269098673,47.93333333,0,0,3,3.716666667,OriginalDriver,False,"улица Гагарина 51, Центральный район, Кемерово, Кемеровская область, Россия","улица Тухачевского 40/2, Ленинский район, Кемерово, Кемеровская область, Россия",8.764,True,Кемеровская область,Россия,5,5,4,3,1.317,0.14,0,,1061,12.6833334,0,35.25,5,1,1,0.948220015,1,66.77999878,27.52038101,0,1.553,0,0.620000005,,100,100,100,75,92.5,0,Кемерово,Кемерово,01.01.2001
1832938,2FFC93BB-3086-4DDB-935D-2016E7899907,A75F6E28-4731-411F-B5A5-9FB2BF9E2844,4203328,2018-09-27 13:55:14.0000000 +03:00,2018-09-27 14:15:16.0000000 +03:00,6.566339838,20.03333333,0,0,5,0,OriginalDriver,False,"улица Зои Космодемьянской 16, Первомайский округ, Мурманск, Мурманская область, Россия","улица Профсоюзов 20, Октябрьский округ, Мурманск, Мурманская область, Россия",6.327,True,Мурманская область,Россия,5,5,5,5,0.604,0.073,0,,6,0,0,20.03333282,5,1,1,1,1,58.13999939,29.34998376,0,0,0,1,,100,100,100,50,85.00000763,0,Мурманск,Мурманск,01.01.2001
1832939,026E713F-E458-4F07-9C4F-D1D635F4E54A,AC054BE4-EBB1-49A4-B53C-9A8ACC3526E1,4203334,2018-09-27 14:11:03.0000000 +04:00,2018-09-27 15:14:30.0000000 +04:00,26.25353079,63.45,1,0,4,3,OriginalDriver,False,"улица Ломоносова 35, Энгельс, Саратовская область, Россия","улица Волоха 84, Энгельс, Саратовская область, Россия",26.424,True,Саратовская область,Россия,4,5,5,4,7.15,2.035,0.058,,1061,0,0,63.45000076,5,0.800000012,1,1,1,71.06399536,40.53066191,0.066666667,2.197,0.073,0.819999993,,100,100,100,0,70,0,Энгельс,Энгельс,01.01.2001
1832941,0538FC71-41FF-4CF3-8787-29F206C78A47,D2B0E276-095A-42D8-9D95-429F607E450B,4203339,2018-09-27 18:38:24.0000000 +08:00,2018-09-27 19:13:37.0000000 +08:00,17.60798119,35.21666667,3,0,3,0.066666667,OriginalDriver,False,"Central Catchment Reserve, Singapore, Singapore","Tampines Ave 4 802, Tampines West, Singapore, Singapore",17.244,True,Singapore,Singapore,5,2,3,5,1.742,0.109,0,,1008,35.21666718,0,0,5,1,0.75,0.800000012,1,79.23101044,39.16146193,0,0.011,0,1,,100,100,100,50,85.00000763,0,Singapore,Singapore,01.01.2001
1832942,3B6CB067-FD66-413B-86C6-8BFD2F74B4AA,A255F3D9-06FA-47DF-8FE5-5A94712C691D,4203341,2018-09-27 19:14:34.0000000 +08:00,2018-09-27 19:16:43.0000000 +08:00,0.378373336,2.15,0,0,4,1.833333333,OriginalDriver,False,"North Bridge Rd 585, Bugis, Singapore, Singapore","Fraser St 5, Bugis, Singapore, Singapore",0.319,True,Singapore,Singapore,5,5,3,2,0,0,0,,1008,2.150000095,0,0,5,1,1,0.800000012,1,34.17673492,24.36214581,0,0.09,0,0.430000007,,100,100,100,100,100.0000076,0,Singapore,Singapore,01.01.2001
1832943,6F6CD9E0-D73D-4E6A-9052-E203A8AFD281,6E87EB9A-FED5-482A-9074-F27A4535E5BC,4203343,2018-09-27 18:38:46.0000000 +08:00,2018-09-27 19:15:12.0000000 +08:00,14.96633647,36.43333333,2,2,3,0,OriginalDriver,False,"Thomson Rd 531, Toa Payoh, Singapore, Singapore","Punggol Central 649, Punggol, Singapore, Singapore",16.335,True,Singapore,Singapore,3,3,3,5,2.002,1.778,0.578,,1008,36.43333435,0,0,3,0.600000024,0.850000024,0.800000012,0.800000012,75.62747192,42.97080599,0,0,0,1,,100,100,100,50,85.00000763,0,Singapore,Singapore,01.01.2001
