Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT
1827823,E4832D51-40E9-42F9-B861-FF6428259086,5C5CE8CD-F989-41B7-BFD5-BCB5719911DD,4184792,2018-09-26 09:09:36.0000000 +03:00,2018-09-26 10:33:59.0000000 +03:00,20.09887341,84.38333333,0,0,3,3.15,OriginalDriver,False,"Лётная улица 28 корп 1, Мытищи, Московская область, Россия","Силикатная улица 1 корп 1, Мытищи, Московская область, Россия",20.664,True,Московская область,Россия,5,5,3,4,1.757,0.108,0.059,,1061,84.3833313,0,0,5,1,1,0.800000012,1,52.84496307,28.46917271,0,1.304,0,0.879999995,,100,100,100,50,85.00000763,0,Мытищи,Мытищи,01.01.2001
1827819,239028BC-ECCE-427D-8AC3-91CE3F53A98D,A9539CEC-5383-4526-941A-08D10F1D0049,4184794,2018-09-26 10:24:58.0000000 +03:00,2018-09-26 10:38:57.0000000 +03:00,8.981767995,13.98333333,0,1,3,2.4,OriginalDriver,False,"Волоколамское шоссе 89, Покровское-Стрешнево, Москва, Россия","Ленинградский проспект 39 стр 8, Хорошёвский, Москва, Россия",8.836,True,Москва,Россия,4,5,3,3,1.691,0.217,0,,1061,13.98333359,0,0,4,0.800000012,1,0.800000012,0.899999976,79.12799835,46.45032729,0,1.614,0,0.600000024,,100,100,100,75,92.5,0,Москва,Москва,01.01.2001
1827824,681D74FC-2D8B-4E95-ABAF-EB71A01B8A76,20B97356-FA88-44D4-AF09-2C9513E48D2A,4184799,2018-09-25 19:50:12.0000000 +03:00,2018-09-25 20:01:32.0000000 +03:00,3.400230281,11.33333333,0,0,4,0.283333333,OriginalDriver,False,"Можайский, Москва, Россия","Рублёвский проезд 40 корп 5Г, Ромашково, Одинцовский район, Московская область, Россия",3.967,False,Московская область,Россия,5,5,3,5,0.203,0.134,0,,1061,11.33333302,0,0,5,1,1,0.800000012,1,58.64400482,26.22945081,0,0.067,0,1,,100,100,100,25,77.50000763,0,Москва,Одинцовский район,01.01.2001
1827825,83C87534-718E-4F74-8DF4-21C0C5D6263F,3E2C9519-ACED-42AE-B113-31D4CBEEBF81,4184801,2018-09-26 12:53:24.0000000 +05:30,2018-09-26 13:05:29.0000000 +05:30,3.660755745,12.08333333,0,1,4,1.183333333,OriginalDriver,False,"Kapa, Raipur, India","Vidhan Sabha Road, Mowa, Raipur, India",6.042,True,Raipur,India,5,5,5,4,0.238,0,0,,1093,0,0,12.08333302,4,1,1,1,0.899999976,58.45208359,27.61070817,0,0.468,0,0.850000024,,100,100,100,100,100.0000076,0,Raipur,Raipur,01.01.2001
1827827,E22BED02-BF78-49D9-9242-06F362FB792C,52960762-957D-4981-A23C-1B3DC8DA2AE9,4184817,2018-09-26 15:09:10.0000000 +08:00,2018-09-26 15:34:16.0000000 +08:00,17.14505365,25.1,0,2,4,1.366666667,OriginalDriver,False,"Serangoon Ave 3 234, Braddell Heights, Singapore, Singapore","S Buona Vista Rd 301, Pasir Panjang, Singapore, Singapore",16.72,True,Singapore,Singapore,5,5,5,5,4.52,0.384,0,,1008,0,0,25.10000038,3,1,1,1,0.800000012,84.88427734,50.38325915,0,0.283,0,1,,100,100,100,0,70,0,Singapore,Singapore,01.01.2001
1827828,5C5375A4-635C-4934-9295-41578719828B,B2A6B9C8-CED7-433A-8EC6-43D499E21F49,4184818,2018-09-26 17:08:07.0000000 +10:00,2018-09-26 17:35:04.0000000 +10:00,22.34137564,26.95,1,7,1,0,OriginalDriver,False,"Бархатная улица 12, Первомайский район, Владивосток, Приморский край, Россия","проспект Красного Знамени 66Б, Ленинский район, Владивосток, Приморский край, Россия",22.027,False,Приморский край,Россия,1,5,5,5,8.256,2.918,2.357,,6,0,0,26.95000076,1,0.200000003,1,1,0.400000006,111.3883591,52.3944654,0,0,0,1,,0,25,100,50,21.25,0,Владивосток,Владивосток,01.01.2001
1827831,8168709A-B602-4CD8-BC53-0DAF84857CBE,8BE8A981-6D03-4DCD-929F-C88C713DEBF6,4184826,2018-09-26 10:56:48.0000000 +04:00,2018-09-26 11:35:15.0000000 +04:00,8.605305963,38.45,1,0,3,2.4,OriginalDriver,False,"улица Софьи Перовской 10 корп 2, Кировский район, Астрахань, Астраханская область, Россия","улица Ленина 15, Кировский район, Астрахань, Астраханская область, Россия",9.528,True,Астраханская область,Россия,5,4,5,3,0.57,0,0,,1061,3.099999905,0,35.34999847,5,1,0.899999976,0.9836272,1,62.7545433,22.63338792,0,1.131,0,0.75,,100,100,100,75,92.5,0,Астрахань,Астрахань,01.01.2001
1827833,503CBC58-A165-4C0B-828D-1E14134831CA,571C0FB3-3A87-4B47-8C31-34E496B21E5D,4184831,2018-09-26 15:26:25.0000000 +08:00,2018-09-26 15:37:29.0000000 +08:00,7.047384064,11.06666667,1,2,3,1.85,OriginalDriver,False,"West Coast Rd 5, Pasir Panjang, Singapore, Singapore","Holland Rd 95, Queenstown, Singapore, Singapore",6.965,True,Singapore,Singapore,5,4,5,3,0.67,0,0,,1008,0,0,11.0666666,3,1,0.899999976,1,0.800000012,76.35599518,44.87238457,0,1.272,0,0.600000024,,100,100,100,75,92.5,0,Singapore,Singapore,01.01.2001
1827830,89467981-0F75-4AE5-8220-304FBCCD1B6A,B9E52C18-5D2E-4343-953C-917F8BD0C85D,4184834,2018-09-26 12:22:06.0000000 +05:30,2018-09-26 13:06:56.0000000 +05:30,6.780034986,44.83333333,0,0,5,4.083333333,OriginalDriver,False,"Trichy Main Road, P M Nagar, Salem, India","Yercaud Main Road, Gorimedu, Salem, India",9.321,False,Salem,India,5,5,5,5,0,0,0,,1093,0,0,44.83333206,5,1,1,1,1,39.45600128,20.03734679,0,0,0,1,,100,100,100,0,70,0,Salem,Salem,01.01.2001
1827834,C45A7F33-B9F5-4F90-8BCD-2632C57C7D57,203178F0-9E77-470D-A230-B5B7A3D115E5,4184835,2018-09-26 11:04:53.0000000 +05:30,2018-09-26 11:16:12.0000000 +05:30,5.913441768,11.31666667,0,0,2,0,OriginalDriver,False,"Nandanbaug Bunglows Road 161, Sanand, Ahmedabad, India","Thaltej, Ahmedabad, India",9.321,False,Ahmedabad,India,2,5,5,5,0,0.074,0.809,,1093,0,0,11.3166666,5,0.400000006,1,1,1,88.23600006,52.29006471,0,0,0,1,,0,100,100,100,40,0,Sanand,Ahmedabad,01.01.2001
