Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT
1024068,768E363B-7272-4A60-90C6-87994D44589A,915D45F4-90F7-41CC-B268-4C2BB1F61A1B,2101803,2018-01-20 17:05:10.0000000 +08:00,2018-01-20 17:50:02.0000000 +08:00,23.92165704,44.86666667,0,0,3,5.466666667,Passanger,True,"Farrer Rd 51, Queenstown, Singapore, Singapore","Crawford Ln 463, Bugis, Singapore, Singapore",26.557,False,Singapore,Singapore,3,5,5,4,4.25,3.892,0.251,OriginalDriver,1008,0,0,44.86666489,5,0.600000024,1,1,1,87.70186615,54.59350994,0,0.707,0,0.970000029,,,,,,,,,,08.06.2018 12:47
1024107,5978A174-9E00-44C7-9487-3EBFE59750A4,4C299417-AEB5-4486-B9F4-1BBE7E780424,2101871,2018-01-20 17:32:18.0000000 +08:00,2018-01-20 17:58:52.0000000 +08:00,10.10818191,26.56666667,3,0,3,0,Passanger,True,"Hougang Ave 8, Hougang, Singapore, Singapore","Bunga Rampai Pl 48, Paya Lebar, Singapore, Singapore",10.032,True,Singapore,Singapore,5,2,5,5,1.775,0,0,OriginalDriver,1008,0,0,26.56666756,5,1,0.75,1,1,66.58934021,38.96830713,0,0,0,1,,,,,,,,,,08.06.2018 12:47
1024808,D6F360E0-9D5B-4F78-B093-0E65B0CC0835,2B0A0BE0-CD1D-4D44-97EB-282E72D4DDDD,2103359,2018-01-21 01:07:01.0000000 +08:00,2018-01-21 02:07:42.0000000 +08:00,118.65052,60.68333333,0,0,1,3.066666667,Passanger,True,"Lebuhraya Utara-Selatan, Seri Medan, Batu Pahat, Malaysia","Kin Teng Park, Johor Bahru, Malaysia",117.778,False,Johor Bahru,Malaysia,1,5,1,4,26.743,18.503,54.094,OriginalDriver,1008,0,60.68333435,0,5,0.200000003,1,0.600000024,1,156.9960022,120.1391581,0,5.508,0,0.910000026,,,,,,,,,,08.06.2018 12:47
1024809,FCA8CA15-D05B-4D8F-9C78-A49EA1CD46DA,2B0A0BE0-CD1D-4D44-97EB-282E72D4DDDD,2103361,2018-01-20 22:41:38.0000000 +08:00,2018-01-21 01:06:53.0000000 +08:00,223.6306599,145.25,0,2,1,2.9,Passanger,True,"Jalan 3B/6 48, Taman Setapak Indah, Setapak, Kuala Lumpur, Malaysia","Lebuhraya Utara-Selatan, Seri Medan, Batu Pahat, Malaysia",222.584,False,Batu Pahat,Malaysia,1,5,3,4,27.769,39.594,125.493,OriginalDriver,1008,0,66.96666718,78.28333282,5,0.200000003,1,0.750918329,1,161.5680084,108.5883522,1.75,5.952,3.846,0.970000029,,,,,,,,,,08.06.2018 12:47
1024818,62FDB10B-58EF-4408-B76D-881F44E4D305,2B0A0BE0-CD1D-4D44-97EB-282E72D4DDDD,2103380,2018-01-21 02:15:56.0000000 +08:00,2018-01-21 02:23:39.0000000 +08:00,2.662577297,7.716666667,0,0,1,0,Passanger,True,"Jalan Tengku Azizah 4, Kin Teng Park, Johor Bahru, Malaysia","Woodlands Xing, Woodlands, Singapore, Singapore",2.921,False,Singapore,Singapore,1,5,1,5,0.154,0.559,0.502,OriginalDriver,1008,0,7.716666698,0,5,0.200000003,1,0.600000024,1,85.64400482,42.44857129,0,0,0,1,,,,,,,,,,08.06.2018 12:47
1024912,31165132-801C-43A9-907A-64501650E219,0372A207-8579-4C35-B804-59E90F379942,2103611,2018-01-21 05:29:53.0000000 +08:00,2018-01-21 05:54:26.0000000 +08:00,7.206870009,24.55,0,0,3,12.4,Passanger,True,"Keng Chin Rd 1A, Bukit Timah, Singapore, Singapore","Mount Faber Rd, Telok Blangah, Singapore, Singapore",7.124,True,Singapore,Singapore,5,5,1,1,0,0,0,OriginalDriver,1008,0,24.54999924,0,5,1,1,0.600000024,1,43.52400208,23.88487512,0,4.85,0,0.119999997,,,,,,,,,,08.06.2018 12:47
1024932,0024AF2B-AEB8-4824-8B4A-02735368F414,0372A207-8579-4C35-B804-59E90F379942,2103662,2018-01-21 06:07:43.0000000 +08:00,2018-01-21 07:06:41.0000000 +08:00,17.14052999,58.96666667,0,0,5,24.51666667,Passanger,True,"Mount Faber Rd 27, Telok Blangah, Singapore, Singapore","Sixth Ave 24A, Queenstown, Singapore, Singapore",17.046,True,Singapore,Singapore,5,5,5,1,0,0,0,OriginalDriver,1008,0,0,58.96666718,5,1,1,1,1,41.43600082,20.92925098,0,8.862,0,0.200000003,,,,,,,,,,08.06.2018 12:47
1024957,2EB8D342-AE5F-4932-A458-EEB0C73D09A0,0372A207-8579-4C35-B804-59E90F379942,2103716,2018-01-21 07:37:47.0000000 +08:00,2018-01-21 07:51:31.0000000 +08:00,5.669799994,13.73333333,0,0,5,4.85,Passanger,True,"Bukit Timah Rd 791, Queenstown, Singapore, Singapore","Ewe Boon Rd 21, Bukit Timah, Singapore, Singapore",5.48,True,Singapore,Singapore,5,5,5,1,0,0,0,OriginalDriver,1008,0,0,13.73333359,5,1,1,1,1,40.31999969,25.83709079,0,1.737,0,0.379999995,,,,,,,,,,08.06.2018 12:47
1025018,4FE374CC-E711-49F8-B3A6-EF465BD0DC86,79064FA5-E44C-436E-8D58-F3046CB69926,2103890,2018-01-20 22:32:19.0000000 +08:00,2018-01-21 07:05:14.0000000 +08:00,115.8489786,512.9166667,0,1,3,0,Passanger,True,"CTE, Tiong Bahru, Singapore, Singapore","Tampines Ave 9, Tampines Central, Singapore, Singapore",29.983,True,Singapore,Singapore,4,5,3,5,0.096,1.115,0,OriginalDriver,1008,0,103.3666687,409.5499878,5,0.800000012,1,0.788066566,1,75.70233917,59.01467154,0,0,0,1,,,,,,,,,,08.06.2018 12:47
1025136,6184B3F4-AB67-4648-9EA4-F4A438A10FDD,65BF4687-63A4-470D-8C1A-FF22587AB598,2104156,2018-01-21 11:12:04.0000000 +08:00,2018-01-21 11:24:27.0000000 +08:00,3.540798436,12.38333333,0,0,4,0,Passanger,True,"Yishun Ave 1, Yishun, Singapore, Singapore","Marymount Rd, Bishan, Singapore, Singapore",7.067,True,Singapore,Singapore,4,5,5,5,1.705,0.779,0,OriginalDriver,1008,0,0,12.38333321,5,0.800000012,1,1,1,87.45093536,67.00521753,0,0,0,1,,,,,,,,,,08.06.2018 12:47
