0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
AAA|AAA|NTGA|NTGA|Anaa|Anaa|Anaa|Anaa|French Polynesia|French Polynesia|-17.355000|-17.355000|-145.508333|-145.508333
AAB|AAB|YARY|YARY|Arrabury|Arrabury|Arrabury|Arrabury|Australia|Australia|-26.690556|-26.690556|141.047500|141.047500
AAC|AAC|HEAR|HEAR|Al Arish International Airport|Al Arish International Airport|Al Arish|Al Arish|Egypt|Egypt|31.073333|31.073333|33.835833|33.835833
AAD|AAD|TVSV|TVSV|Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Sudan|Sudan|17.592777777778|17.592777777778|33.959166666667|33.959166666667
AAE|AAE|DABB|DABB|Les Salines|Les Salines|Annaba|Annaba|Algeria|Algeria|36.822222|36.822222|7.809444|7.809444
AAF|AAF|KAAF|KAAF|Municipal|Municipal|Apalachicola|Apalachicola|United States|United States|29.727607|29.727607|-85.027442|-85.027442
AAG|AAG|SSYA|SSYA|Arapoti|Arapoti|Arapoti|Arapoti|Brazil|Brazil|-24.103875|-24.103875|-49.789078|-49.789078
AAH|AAH|EDKA|EDKA|Aachen/Merzbruck|Aachen/Merzbruck|Aachen|Aachen|Germany|Germany|50.823056|50.823056|6.186111|6.186111
AAI|AAI|SWRA|SWRA|Arraias|Arraias|Arraias|Arraias|Brazil|Brazil|-13.025|-13.025|-46.884|-46.884
AAJ|AAJ|SMCA|SMCA|Cayana Airstrip|Cayana Airstrip|Awaradam|Awaradam|Suriname|Suriname|3.898611|3.898611|-55.577778|-55.577778
AAK|AAK|NGUK|NGUK|Aranuka|Aranuka|Aranuka|Aranuka|Kiribati|Kiribati|0.185278|0.185278|173.636667|173.636667
AAL|AAL|EKYT|EKYT|Aalborg|Aalborg|Aalborg|Aalborg|Denmark|Denmark|57.092789|57.092789|9.849164|9.849164
AAM|AAM|FAMD|FAMD|Mala Mala|Mala Mala|Mala Mala|Mala Mala|South Africa|South Africa|-24.818111|-24.818111|31.544584|31.544584
AAN|AAN|OMAL|OMAL|Al Ain|Al Ain|Al Ain|Al Ain|United Arab Emirates|United Arab Emirates|24.261667|24.261667|55.609167|55.609167
AAO|AAO|SVAN|SVAN|Anaco|Anaco|Anaco|Anaco|Venezuela|Venezuela|9.430225|9.430225|-64.470725|-64.470725
AAP|AAP|BGAG|BGAG|Andrau Airpark|Andrau Airpark|Houston, TX|Houston, TX|United States|United States|72.886944|72.886944|-55.596111|-55.596111
AAQ|AAQ|URKA|URKA|Vityazevo|Vityazevo|Anapa|Anapa|Russian Federation|Russian Federation|45.002097|45.002097|37.347272|37.347272
AAR|AAR|EKAH|EKAH|Aarhus Airport|Aarhus Airport|Aarhus|Aarhus|Denmark|Denmark|56.300017|56.300017|10.619008|10.619008
AAS|AAS|||Apalapsili|Apalapsili|Apalapsili|Apalapsili|Indonesia|Indonesia|-3.883|-3.883|139.283|139.283
AAT|AAT|ZWAT|ZWAT|Altay|Altay|Altay|Altay|China|China|47.749|47.749|88.089|88.089
AAU|AAU|NSAU|NSAU|Asau|Asau|Asau|Asau|Samoa|Samoa|-13.505778|-13.505778|-172.627972|-172.627972
AAV|AAV|RPMA|RPMA|Allah Valley|Allah Valley|Surallah|Surallah|Philippines|Philippines|6.366817|6.366817|124.751294|124.751294
AAW|AAW|OPAB|OPAB|Abbottabad|Abbottabad|Abbottabad|Abbottabad|Pakistan|Pakistan|34.150|34.150|73.217|73.217
AAX|AAX|SBAX|SBAX|Araxa|Araxa|Araxa|Araxa|Brazil|Brazil|-19.563247|-19.563247|-46.960358|-46.960358
AAY|AAY|OYGD|OYGD|Al Ghaydah|Al Ghaydah|Al Ghaydah|Al Ghaydah|Yemen|Yemen|16.191666|16.191666|52.175000|52.175000
AAZ|AAZ|MGQZ|MGQZ|Ambriz|Ambriz|Ambriz|Ambriz|Angola|Angola|14.865550|14.865550|-91.501981|-91.501981
ABA|ABA|UNAA|UNAA|Abakan|Abakan|Abakan|Abakan|Russian Federation|Russian Federation|53.740000|53.740000|91.385000|91.385000
ABB|ABB|EGUD|EGUD|RAF Station|RAF Station|Abingdon|Abingdon|United Kingdom|United Kingdom|51.690556|51.690556|-1.316667|-1.316667
