,Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT
0,1651786,5735CCE7-CDB2-4537-8C8C-CEEE2F80D876,5EE3A642-0254-415C-94D0-43272864C279,3750023,2018-08-23 13:42:34.000000,2018-08-23 14:09:54,11.09221863,27.33333333,0,1,3,2.75,OriginalDriver,False,"Хамовники, Москва, Россия","улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия",11.151,True,Москва,Россия,5,5,5,3,0.08900000000000001,0.0,0.0,,1055,0.0,0.0,27.33333397,4,1.0,1.0,1.0,0.8999999759999999,60.12000275,37.44574133,0.0,1.734,0.0,0.660000026,,100,100,100,100,100.00000759999999,0,Москва,Москва,2001-01-01 00:00:00.000000
1,1654839,66C8E384-A368-40C4-9D72-5A15D951F4A1,5EE3A642-0254-415C-94D0-43272864C279,3758144,2018-08-24 08:20:01.000000,2018-08-24 08:46:09,9.877571547999999,26.13333333,1,0,3,1.45,OriginalDriver,False,"улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия","проспект Вернадского 3А, Гагаринский, Москва, Россия",10.482000000000001,True,Москва,Россия,5,4,3,4,0.603,0.0,0.0,,1055,26.13333321,0.0,0.0,5,1.0,0.8999999759999999,0.800000012,1.0,62.71199799,37.15044523,0.0,0.44299999999999995,0.0,0.939999998,,100,100,100,100,100.00000759999999,0,Москва,Москва,2001-01-01 00:00:00.000000
2,1656200,E6CB3E89-E251-4183-A890-BB4380E9F96A,5EE3A642-0254-415C-94D0-43272864C279,3761703,2018-08-24 13:44:43.000000,2018-08-24 14:07:52,5.164464376000001,23.15,0,0,5,0.05,OriginalDriver,False,"Профсоюзная улица 44, Черёмушки, Москва, Россия","улица Миклухо-Маклая 40, Коньково, Москва, Россия",5.1080000000000005,True,Москва,Россия,5,5,5,5,0.44799999999999995,0.0,0.0,,1055,0.0,0.0,23.14999962,5,1.0,1.0,1.0,1.0,67.17599487,35.44021412,0.0,0.076,0.0,1.0,,100,100,100,75,92.5,0,Москва,Москва,2001-01-01 00:00:00.000000
3,1657730,3636DCE8-2AFF-41F2-9C83-4E45451E7CC1,5EE3A642-0254-415C-94D0-43272864C279,3765578,2018-08-24 19:20:13.000000,2018-08-24 19:49:08,11.73809356,28.91666667,0,0,3,4.133333333,OriginalDriver,False,"улица Миклухо-Маклая 40, Коньково, Москва, Россия","Донская улица 14 корп 1, Якиманка, Москва, Россия",12.433,True,Москва,Россия,5,5,3,3,2.5860000000000003,0.11699999999999999,0.0,,1055,28.91666603,0.0,0.0,5,1.0,1.0,0.800000012,1.0,73.0799942,39.14646999,0.0,1.649,0.0,0.699999988,,100,100,100,50,85.00000763,0,Москва,Москва,2001-01-01 00:00:00.000000
4,1658201,4E4FDD52-F257-43F2-8E27-59F030E68503,5EE3A642-0254-415C-94D0-43272864C279,3767420,2018-08-24 23:27:32.000000,2018-08-24 23:38:12,6.475946261,10.66666667,0,0,4,2.483333333,OriginalDriver,False,"Профсоюзная улица, Академический, Москва, Россия","улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия",6.415,True,Москва,Россия,5,5,5,4,0.44799999999999995,0.0,0.0,,1055,0.0,0.0,10.66666698,5,1.0,1.0,1.0,1.0,67.31999969,44.11420299,0.0,0.588,0.0,0.800000012,,100,100,100,50,85.00000763,0,Москва,Москва,2001-01-01 00:00:00.000000
5,1661036,0AF79440-B165-41E3-8C6A-4874BD8F60F8,5EE3A642-0254-415C-94D0-43272864C279,3776094,2018-08-25 15:37:46.000000,2018-08-25 15:41:54,1.568998991,4.133333333,0,0,2,0.6,OriginalDriver,False,"улица Бутлерова 19А стр 1, Коньково, Москва, Россия","улица Миклухо-Маклая 55, Коньково, Москва, Россия",1.5019999999999998,True,Москва,Россия,5,5,5,1,0.0,0.0,0.0,,1055,0.0,0.0,4.1333332060000005,5,1.0,1.0,1.0,1.0,58.2480011,35.52299935,0.0,0.484,0.0,0.379999995,,100,100,100,100,100.00000759999999,0,Москва,Москва,2001-01-01 00:00:00.000000
6,1662232,4EB19256-B04F-4D3A-A032-FBD33AEF3A40,5EE3A642-0254-415C-94D0-43272864C279,3779672,2018-08-25 15:55:59.000000,2018-08-25 16:38:12,42.76954618,42.21666667,0,0,2,0.5166666670000001,OriginalDriver,False,"улица Миклухо-Маклая 55, Коньково, Москва, Россия","Москва, Россия",42.716,False,Москва,Россия,1,5,5,5,11.421,6.885,6.962000000000001,,1055,0.0,0.0,42.21666718,5,0.200000003,1.0,1.0,1.0,117.0,75.89291761,0.0,0.473,0.0,1.0,,0,100,100,25,17.5,0,Москва,Москва,2001-01-01 00:00:00.000000
7,1663760,D50E0050-C027-4281-B48D-8747D8CBF4B7,5EE3A642-0254-415C-94D0-43272864C279,3785982,2018-08-26 10:46:44.000000,2018-08-26 11:14:42,30.73628549,27.96666667,1,2,1,3.0333333330000003,OriginalDriver,False,"Калужское шоссе 1В, Красная Пахра посёлок, Москва, Россия","улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия",30.174,False,Москва,Россия,1,5,5,4,8.524,8.37,4.069,,1055,0.0,0.0,27.96666718,4,0.200000003,1.0,1.0,0.8999999759999999,117.5039978,70.9234343,0.6,2.911,0.8,0.800000012,,0,100,100,50,25.0,0,Москва,Москва,2001-01-01 00:00:00.000000
8,1663820,4651CD5E-ABC4-41B9-895A-1DAF47751099,5EE3A642-0254-415C-94D0-43272864C279,3786146,2018-08-26 11:21:04.000000,2018-08-26 11:33:44,4.688970333,12.66666667,0,0,4,0.7,OriginalDriver,False,"улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия","Профсоюзная улица 29 корп 3, Черёмушки, Москва, Россия",5.181,True,Москва,Россия,5,5,5,4,2.5869999999999997,0.16899999999999998,0.0,,1055,0.0,0.0,12.66666698,5,1.0,1.0,1.0,1.0,73.36799622,41.15264903,0.0,0.45899999999999996,0.0,0.8199999929999999,,100,100,100,50,85.00000763,0,Москва,Москва,2001-01-01 00:00:00.000000
9,1664315,D4311228-80A6-4FFA-BA14-F30BEB9F3D16,5EE3A642-0254-415C-94D0-43272864C279,3787915,2018-08-26 13:17:00.000000,2018-08-26 13:32:34,5.63390233,15.56666667,0,1,2,2.2,OriginalDriver,False,"Профсоюзная улица 29 корп 3, Черёмушки, Москва, Россия","Коньково, Москва, Россия",6.582999999999999,True,Москва,Россия,5,5,5,2,1.0959999999999999,0.0,0.0,,1055,0.0,0.0,15.5666666,4,1.0,1.0,1.0,0.8999999759999999,69.37200165,42.84882152,0.0,1.656,0.0,0.47999998899999996,,100,100,100,25,77.50000763,0,Москва,Москва,2001-01-01 00:00:00.000000
