,Id,IncomingTrackId,StartDate,EndDate,AddressStart,AddressFinish,Country,CityStart,RichTrackId,DeviceToken,StartLat,StartLon,FinishLat,FinishLon
0,1672505,3810920,2018-08-28 13:41:04.0000000 +03:00,2018-08-28 14:09:58.0000000 +03:00,"Лужнецкая набережная 2/4 стр 1, Хамовники, Москва, Россия","улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия",Россия,Москва,1672505,5EE3A642-0254-415C-94D0-43272864C279,55.71337,37.56957,55.63885,37.53831
1,1675480,3818935,2018-08-29 08:32:06.0000000 +03:00,2018-08-29 09:11:35.0000000 +03:00,"улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия","Лужнецкая набережная 2/4 стр 78, Хамовники, Москва, Россия",Россия,Москва,1675480,5EE3A642-0254-415C-94D0-43272864C279,55.63885,37.53831,55.71384,37.56898
2,1678304,3827544,2018-08-29 22:56:41.0000000 +03:00,2018-08-29 23:50:13.0000000 +03:00,"Профсоюзная улица, Коньково, Москва, Россия","улица Введенского, Коньково, Москва, Россия",Россия,Москва,1678304,5EE3A642-0254-415C-94D0-43272864C279,55.64321705611017,37.52730751413622,55.63901,37.53792
3,1679477,3830565,2018-08-30 08:23:09.0000000 +03:00,2018-08-30 09:05:11.0000000 +03:00,"улица Введенского, Коньково, Москва, Россия","Лужнецкая набережная 2/4 стр 71, Хамовники, Москва, Россия",Россия,Москва,1679477,5EE3A642-0254-415C-94D0-43272864C279,55.63901,37.53792,55.71377,37.57175
4,1681424,3835794,2018-08-30 16:53:33.0000000 +03:00,2018-08-30 16:59:14.0000000 +03:00,"улица Миклухо-Маклая 36 корп 1, Коньково, Москва, Россия","Профсоюзная улица 85 корп 1 стр 1, Коньково, Москва, Россия",Россия,Москва,1681424,5EE3A642-0254-415C-94D0-43272864C279,55.63921,37.53571,55.64403,37.52803
5,1682550,3838820,2018-08-30 22:52:22.0000000 +03:00,2018-08-30 23:55:16.0000000 +03:00,"проезд Апакова, Якиманка, Москва, Россия","улица Введенского, Коньково, Москва, Россия",Россия,Москва,1682550,5EE3A642-0254-415C-94D0-43272864C279,55.72759,37.61176,55.63899,37.53789
6,1683761,3842195,2018-08-31 08:25:15.0000000 +03:00,2018-08-31 09:05:05.0000000 +03:00,"улица Введенского, Коньково, Москва, Россия","Лужнецкая набережная 2/4 стр 17, Хамовники, Москва, Россия",Россия,Москва,1683761,5EE3A642-0254-415C-94D0-43272864C279,55.63899,37.53789,55.71325,37.57266
7,1718589,3939759,2018-09-08 12:08:27.0000000 +03:00,2018-09-08 12:25:11.0000000 +03:00,"Профсоюзная улица, Коньково, Москва, Россия","улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия",Россия,Москва,1718589,5EE3A642-0254-415C-94D0-43272864C279,55.64349579630014,37.52724590714791,55.63886,37.5384
8,1718775,3940239,2018-09-08 12:39:08.0000000 +03:00,2018-09-08 13:09:15.0000000 +03:00,"улица Миклухо-Маклая 40 корп 1, Коньково, Москва, Россия","улица Кравченко 2, Ломоносовский, Москва, Россия",Россия,Москва,1718775,5EE3A642-0254-415C-94D0-43272864C279,55.63886,37.5384,55.67453,37.5238
9,1720230,3944310,2018-09-08 17:58:48.0000000 +03:00,2018-09-08 18:30:54.0000000 +03:00,"Калужская площадь 1 стр 7, Якиманка, Москва, Россия","Коньково, Москва, Россия",Россия,Москва,1720230,5EE3A642-0254-415C-94D0-43272864C279,55.7276,37.61118,55.6389,37.5386
